Time	stat-140323-165754-Porta90-1.txt	stat-140323-170110-Porta90-2.txt	stat-140323-170443-Porta90-3.txt	stat-140323-170827-Porta90-4.txt	stat-140323-171146-Porta90-5.txt	stat-140323-171538-Porta90-6.txt	stat-140323-172116-Porta90-7.txt	stat-140323-172430-Porta90-8.txt	stat-140323-175630-Porta90-9.txt	stat-140323-180112-Porta90-10.txt	stat-140323-180435-Porta90-11.txt	stat-140323-181113-Porta90-12.txt	stat-140323-181502-Porta90-13.txt	stat-140323-181815-Porta90-14.txt	stat-140323-182337-Porta90-15.txt	stat-140323-182724-Porta90-16.txt	stat-140323-183053-Porta90-17.txt	stat-140323-183416-Porta90-18.txt	stat-140323-184039-Porta90-19.txt	stat-140323-211037-Porta90-20.txt	stat-140323-211944-Porta90-21.txt	stat-140323-212256-Porta90-22.txt	stat-140323-212658-Porta90-23.txt	stat-140323-213104-Porta90-24.txt	stat-140323-213427-Porta90-25.txt	stat-140323-213801-Porta90-26.txt	stat-140323-214220-Porta90-27.txt	stat-140323-214643-Porta90-28.txt	stat-140323-215116-Porta90-29.txt	stat-140323-215431-Porta90-30.txt
58	197504	404624	255400	0	675532	648948	670348	216692	625876	624204	603528	0	564256	651932	683484	665848	0	601676	652504	440304	535244	638892	0	459976	274524	568848	364212	258180	538192	0	
59	600092	678576	0	0	679912	540820	680760	689940	587816	789420	691808	156780	576672	594600	544488	741680	0	611848	795940	627940	631296	631316	674272	551364	708108	622504	0	641328	153944	0	
60	613592	662348	387232	190776	604352	665664	425780	593432	360952	595452	169464	617392	292388	543352	533032	327596	309752	564916	588984	570404	652828	0	592808	270680	627172	645256	0	622160	660992	235056	
61	672388	566348	493236	606560	728460	628364	200808	628832	132960	0	680840	550808	662128	656952	683152	0	581416	550776	72832	343956	621524	0	607156	0	285760	308512	0	625972	645412	614012	
62	637452	527676	578640	455476	684524	602944	629708	566628	695544	267900	647440	638048	650228	232224	578536	36520	44228	660340	0	0	658368	140496	663652	44332	0	0	0	552880	558420	542368	
63	484148	633880	627020	533328	566520	264284	542696	658468	578352	537144	603152	714284	533484	0	568704	594568	41644	608500	0	0	620648	715632	686388	618204	0	0	197704	682672	600980	16500	
64	355392	693904	640572	599552	651212	688632	610704	167288	660420	594408	717548	577704	641688	341640	570736	652192	612940	631396	0	198388	692588	723116	577000	608692	0	478548	468664	717704	192276	0	
65	671140	680024	730000	632372	611848	670408	659616	521060	649096	516940	29488	242764	366188	539436	668492	549168	630100	97664	424432	616136	618368	54356	615996	654260	35280	633228	0	628200	0	0	
66	732844	391472	623504	652972	650640	750400	650092	603124	654428	0	666656	494468	0	755884	736876	611900	599060	0	600828	621508	553384	0	594484	736976	634420	480732	273024	378676	0	686980	
67	254360	0	866168	765692	753060	717656	758300	721840	768392	0	623000	632172	0	718436	450396	662472	681384	0	0	603420	274680	415804	560332	645168	541600	0	604908	499536	683528	698752	
68	176952	15640	83340	547988	363084	681712	587784	555500	103224	290236	115028	311744	73572	402308	46728	371144	431940	0	0	654084	0	533032	122328	825116	712812	0	635676	719576	389388	679456	
69	159060	112480	0	99840	114612	113980	114756	107256	109480	107000	116988	108468	109480	114684	0	70628	114172	109940	0	206384	0	114468	113472	104580	354076	0	111468	144792	122256	93672	
70	80500	107916	0	108172	95964	106224	59892	114444	71944	110040	108836	31224	100096	101964	43972	73364	101660	56240	32588	101468	88104	111396	111756	92748	111756	0	119400	103236	98892	117468	
71	69816	62560	0	110040	104996	118608	0	107916	0	117900	119824	37728	0	117300	112160	84584	106288	0	95532	107980	106896	110012	78600	0	97464	115824	111108	64700	101708	122456	
72	44160	0	102064	89604	9432	103032	0	114172	29716	12576	93092	114756	0	105324	106872	91956	15576	106352	107660	46920	70740	109968	0	0	0	111612	127756	0	119088	103568	
73	0	0	106352	0	22296	18768	91104	109480	108840	0	102772	119472	71944	11004	84640	70636	0	101788	115736	0	0	103752	0	53448	29868	119472	115348	0	109960	31368	
74	7716	0	65968	60780	117460	0	110040	37536	110916	0	109020	114756	92404	20292	110448	93392	50256	109480	106480	78200	0	108396	56432	103752	113184	106896	89868	60828	37524	0	
75	83388	54164	0	111540	115904	0	116328	0	118608	108468	3160	47048	120236	114260	109408	90712	109968	118864	108504	100052	89604	15640	118800	102036	116328	100304	0	104228	0	45588	
76	83172	116080	0	111540	104916	52920	110040	0	4756	117380	32796	0	104828	117300	0	0	121044	103328	114300	106976	105188	10948	104468	0	86156	115148	0	110100	0	113100	
77	117684	105372	59736	100360	86980	117620	112608	102268	69384	111044	111500	0	111684	104532	0	0	9432	95852	56304	39728	104788	125108	12440	0	0	64144	0	19280	0	107724	
78	109508	35124	112800	114464	51832	119464	31472	113028	106896	114840	109632	82456	114828	9256	74944	117828	0	101184	0	0	24936	104244	0	15604	120428	0	0	0	117300	34464	
79	106820	91456	112288	65644	111476	14148	0	77800	116184	116028	109488	111632	97392	0	106288	111684	18768	112924	23580	0	105684	105268	78908	104392	107164	21364	71100	59960	50048	0	
80	106820	115620	109160	0	108916	0	0	0	110008	110968	4740	47280	111020	12640	95468	89532	114172	51384	117900	109976	109220	19864	118180	97676	112976	107252	84792	117080	0	0	
81	106224	109020	110124	0	118180	70668	93300	85404	110916	111940	0	0	37536	107360	0	0	104216	0	121116	100456	118260	0	107360	69520	81488	118800	0	107680	0	0	
82	107440	111940	45780	58460	107440	105096	112100	106820	106480	47160	114860	0	0	120080	0	0	60988	41160	66024	114580	99540	55300	11140	0	94800	68752	0	118420	105860	80580	
83	0	28440	0	118500	23700	110980	96380	105320	109532	66360	112340	20540	0	105860	0	0	0	118500	0	0	0	112180	0	0	127980	0	0	110520	93220	117720	
84	0	0	0	101304	113760	121672	0	108476	117424	123240	114160	105540	86956	115340	63424	86548	0	104200	0	0	0	123240	0	22120	99540	44744	39624	102380	105860	9156	
85	56720	44240	0	104784	114204	119944	11060	97560	106872	101600	109872	107040	99424	113760	99216	114476	79352	61540	0	0	41064	17380	72480	123240	110600	112976	76248	99356	105620	0	
86	111132	115340	22968	86852	112872	52040	112180	10656	102268	113624	106976	114908	94560	0	0	41280	109872	0	107988	62592	109664	0	96372	82088	110360	100612	0	106820	109500	61040	
87	120580	107788	117424	114528	108372	0	110604	0	107960	104400	59540	118116	20280	100976	0	0	108372	0	99016	115924	96164	100000	105372	0	12640	88560	0	19864	104520	108216	
88	45832	31280	112976	111476	106924	0	105320	53436	103872	70248	0	112768	110348	102112	10760	47280	117528	90776	0	106872	0	105268	102320	105112	0	0	0	0	105504	103716	
89	0	62560	116028	102268	0	0	100612	108216	114372	0	13708	12208	111900	108320	106924	108424	122028	114492	0	109924	0	111424	100612	105424	48832	0	19812	0	70248	100560	
90	80904	99248	119028	7604	0	68696	112872	108372	93060	0	115976	0	117996	102268	111320	108268	108268	111044	82352	109872	90008	30520	120528	109872	106872	3052	105424	108372	1552	112872	
91	105268	117528	88456	0	0	120580	29020	38124	47384	67144	117528	44332	103872	0	99060	108372	112872	17012	105216	109820	108424	0	103924	76248	112924	100612	115924	114476	0	117528	
92	74696	117476	108424	0	102164	109924	79352	0	114372	117528	94664	109924	15156	0	102268	108268	83852	0	109820	111372	114528	12260	54936	0	76352	106924	3052	70196	16812	109872	
93	16812	93008	112976	88664	105164	100716	111320	24468	112924	99216	36624	109820	0	82300	97716	108372	0	0	122132	47332	103716	92800	0	0	0	65644	51832	106872	111320	111320	
94	0	84008	32072	117632	51936	111424	109872	111424	102112	0	109924	120528	3052	105424	62592	105268	0	100716	111424	0	111372	112872	0	0	16812	114424	103612	113028	108216	25916	
95	1552	0	0	74852	0	111320	105268	115924	114476	10708	103716	112820	123580	107028	0	105372	38176	126632	119028	0	109976	109872	82300	16812	106664	108320	108216	106768	112872	0	
96	106612	0	0	114320	36624	118976	28968	102268	105216	117372	108372	99060	100664	3000	0	74800	105320	96112	105372	93112	102164	108268	111372	112820	105216	113028	105216	114476	24364	29020	
97	105112	33520	80956	114476	108268	33624	19864	97768	99060	112976	117580	115924	108476	102320	103888	0	114528	106716	117424	111476	96164	100820	91612	106768	93008	117476	9156	32020	106664	109872	
98	112976	70144	108372	106820	108320	0	111320	106820	108756	115976	99216	106872	22916	99164	109820	0	59436	118976	27468	82300	0	108424	0	106768	0	45780	0	0	119080	119028	
99	7604	94560	82456	114528	76196	36572	111580	0	94560	108372	0	41228	0	108372	67144	0	0	108372	0	15260	0	114476	0	97612	0	0	0	0	114476	26020	
100	48832	30572	76248	61040	0	94892	117476	0	108372	116080	0	0	0	112820	0	41228	0	112924	0	97768	27468	48884	65644	94612	73248	0	96112	93164	117528	0	
101	108268	0	114424	42780	88508	114424	119028	33572	59644	42676	0	0	62592	15208	0	109924	91612	51832	99112	103768	109924	0	111424	108372	103716	35124	112976	111424	1552	0	
102	90008	0	102164	106820	103872	68644	103664	105320	0	0	61040	103872	103716	0	56436	102320	105320	0	103768	105268	109768	0	106820	56436	103820	117424	38228	115148	0	105372	
103	102268	4552	117580	108216	96164	108268	3052	94560	100820	0	109872	115924	100560	0	109976	15208	64092	0	41176	77904	27364	47592	26020	0	108372	88664	0	15260	68644	106768	
104	3052	105372	82456	99164	87008	106872	0	0	96216	0	57936	64040	0	59540	106664	0	0	0	0	0	0	61248	0	0	106820	115924	0	0	102164	53384	
105	42624	62540	94140	68696	0	108320	44280	0	112924	80904	0	0	22916	62644	41228	33624	0	68748	0	0	87008	46040	0	58040	96112	115872	0	3052	118924	0	
106	103820	10760	114372	0	0	108372	100508	48832	77904	44332	114476	0	102164	0	106872	106396	21312	70300	68748	0	85456	91560	0	91508	82352	109820	0	97664	16760	0	
107	91456	114424	106820	0	0	44228	80956	13760	0	0	116028	0	117476	0	116028	105268	114476	0	117476	0	0	74748	0	0	0	65644	0	122080	0	57936	
108	91664	112872	27468	0	0	0	0	0	0	0	21416	0	106872	0	12208	18312	117380	0	91508	0	0	96112	0	0	0	0	0	48780	0	106820	
109	0	39780	0	0	0	0	0	0	0	0	0	0	1552	0	0	0	29540	0	0	0	0	0	0	0	0	0	0	0	0	1552	
110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32256	0	
135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	
136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	
137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	
138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	
139	1333172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28012	0	0	0	0	-	0	
140	0	0	852700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1162440	0	0	0	0	0	0	0	-	0	
141	0	0	-	0	0	0	0	0	76664	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	-	0	
142	0	0	-	0	0	0	0	0	670420	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	1041788	0	0	-	0	
143	0	0	-	0	0	99476	0	0	-	84444	0	0	574152	0	751736	0	0	0	0	0	-	0	0	119080	1121432	-	0	0	-	0	
144	49080	0	-	791276	0	1019396	0	0	-	907776	0	0	-	0	170488	264248	0	0	0	0	-	0	0	-	-	-	0	0	-	0	
145	-	0	-	-	0	-	0	0	-	-	949624	0	-	0	-	591040	309968	0	0	0	-	0	0	-	-	-	0	0	-	0	
146	-	0	-	-	0	-	0	0	-	-	-	0	-	0	-	-	482348	0	639944	0	-	0	0	-	-	-	0	0	-	1554260	
147	-	0	-	-	0	-	1271020	0	-	-	-	0	-	0	-	-	-	0	298556	194840	-	0	0	-	-	-	0	0	-	0	
148	-	0	-	-	0	-	0	0	-	-	-	0	-	0	-	-	-	0	-	876780	-	0	0	-	-	-	0	0	-	0	
149	-	0	-	-	885780	-	0	0	-	-	-	0	-	0	-	-	-	0	-	-	-	1003120	0	-	-	-	0	0	-	0	
150	-	0	-	-	-	-	0	0	-	-	-	0	-	0	-	-	-	0	-	-	-	-	0	-	-	-	0	0	-	0	
151	-	0	-	-	-	-	0	0	-	-	-	0	-	0	-	-	-	0	-	-	-	-	0	-	-	-	0	0	-	330948	
152	-	0	-	-	-	-	22256	0	-	-	-	0	-	0	-	-	-	0	-	-	-	-	0	-	-	-	0	0	-	-	
153	-	0	-	-	-	-	-	0	-	-	-	0	-	0	-	-	-	0	-	-	-	-	0	-	-	-	0	0	-	-	
154	-	0	-	-	-	-	-	0	-	-	-	0	-	0	-	-	-	0	-	-	-	-	0	-	-	-	0	0	-	-	
155	-	849324	-	-	-	-	-	0	-	-	-	0	-	0	-	-	-	0	-	-	-	-	0	-	-	-	0	0	-	-	
156	-	-	-	-	-	-	-	0	-	-	-	0	-	0	-	-	-	1151412	-	-	-	-	0	-	-	-	0	0	-	-	
157	-	-	-	-	-	-	-	1095880	-	-	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	0	0	-	-	
158	-	-	-	-	-	-	-	0	-	-	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	0	855824	-	-	
159	-	-	-	-	-	-	-	0	-	-	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	0	-	-	-	
160	-	-	-	-	-	-	-	0	-	-	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	0	-	-	-	
161	-	-	-	-	-	-	-	752	-	-	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	0	-	-	-	
162	-	-	-	-	-	-	-	-	-	-	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	0	-	-	-	
163	-	-	-	-	-	-	-	-	-	-	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	0	-	-	-	
164	-	-	-	-	-	-	-	-	-	-	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	0	-	-	-	
165	-	-	-	-	-	-	-	-	-	-	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	0	-	-	-	
166	-	-	-	-	-	-	-	-	-	-	-	0	-	0	-	-	-	-	-	-	-	-	124820	-	-	-	0	-	-	-	
167	-	-	-	-	-	-	-	-	-	-	-	0	-	0	-	-	-	-	-	-	-	-	722172	-	-	-	0	-	-	-	
168	-	-	-	-	-	-	-	-	-	-	-	0	-	0	-	-	-	-	-	-	-	-	-	-	-	-	970100	-	-	-	
169	-	-	-	-	-	-	-	-	-	-	-	0	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
170	-	-	-	-	-	-	-	-	-	-	-	0	-	391824	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
171	-	-	-	-	-	-	-	-	-	-	-	0	-	472640	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
172	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
173	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
174	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
175	-	-	-	-	-	-	-	-	-	-	-	1103216	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
